               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09788,            0.032725,            0.025697,             0.29476,                 0.4,             0.34018,            0.047814,            0.083225,            0.022563,            0.019476,             0.00092,             0.00092,             0.09172
                   1,            0.071066,            0.033812,            0.019386,                   1,             0.39805,             0.47196,            0.092475,            0.072848,            0.017529,             0.01469,           0.0018496,           0.0018496,             0.08335
                   2,            0.065189,            0.036508,            0.015925,             0.22586,             0.49484,              0.3506,             0.14431,            0.070298,            0.013897,           0.0078699,           0.0027775,           0.0027775,            0.074978
                   3,            0.058627,            0.033483,            0.009509,             0.99915,                 0.3,             0.46169,             0.20843,            0.072748,            0.011996,           0.0038599,           0.0037026,           0.0037026,            0.066603
                   4,            0.060549,            0.026938,           0.0064674,             0.52951,             0.71685,             0.58145,             0.23491,            0.055725,            0.011833,           0.0030291,           0.0046235,           0.0046235,            0.058224
                   5,            0.056094,            0.020578,           0.0056469,             0.30014,             0.83333,             0.48607,             0.25415,            0.065183,           0.0086699,           0.0018078,           0.0055391,           0.0055391,            0.049839
                   6,            0.057373,            0.020874,             0.00471,             0.31795,             0.65861,             0.34009,            0.092211,            0.069485,           0.0090524,           0.0027691,           0.0064482,           0.0064482,            0.041448
                   7,            0.061886,            0.022787,           0.0048685,             0.25352,             0.98838,             0.43991,             0.15316,             0.06764,           0.0084145,           0.0022083,           0.0073495,           0.0073495,            0.033049
                   8,            0.054185,            0.021334,           0.0052454,              0.6728,             0.83189,             0.74089,             0.38668,            0.059511,            0.008146,            0.003005,           0.0082418,           0.0082418,            0.024642
                   9,             0.05712,            0.019051,           0.0044925,             0.89541,             0.82029,             0.82521,             0.32422,            0.065627,           0.0071719,           0.0021064,            0.009124,            0.009124,            0.016224
                  10,            0.054045,            0.018843,           0.0045933,             0.99498,             0.64302,             0.71559,             0.30317,            0.054898,           0.0074936,           0.0035875,           0.0097798,           0.0097798,           0.0097798
                  11,            0.053907,            0.018836,           0.0040436,             0.64228,             0.83333,              0.7239,             0.36544,            0.052736,           0.0086506,           0.0015452,           0.0097798,           0.0097798,           0.0097798
                  12,            0.046223,            0.017975,           0.0044329,             0.74654,              0.8203,              0.8625,             0.32931,            0.055156,           0.0079097,           0.0024029,            0.009734,            0.009734,            0.009734
                  13,             0.04839,            0.019552,           0.0043296,             0.89895,             0.66667,             0.73964,             0.21707,             0.05848,           0.0073183,           0.0011825,            0.009684,            0.009684,            0.009684
                  14,            0.046132,            0.020406,            0.003134,              0.8454,             0.66667,             0.68594,             0.43596,            0.048001,           0.0069096,           0.0010137,           0.0096299,           0.0096299,           0.0096299
                  15,            0.042193,             0.02078,           0.0026319,              0.7056,                   1,                0.83,             0.51305,            0.039851,           0.0085221,          0.00091802,           0.0095717,           0.0095717,           0.0095717
                  16,            0.039489,            0.018633,           0.0027274,             0.80789,             0.83333,             0.84571,             0.44374,            0.047562,           0.0072819,           0.0011315,           0.0095095,           0.0095095,           0.0095095
                  17,            0.040441,            0.021024,           0.0026586,              0.7902,             0.83315,             0.83688,             0.41161,            0.051311,           0.0069526,          0.00099925,           0.0094434,           0.0094434,           0.0094434
                  18,            0.039169,            0.018132,           0.0022962,             0.61383,             0.83333,             0.61619,             0.39994,            0.052352,           0.0068434,           0.0011366,           0.0093733,           0.0093733,           0.0093733
                  19,            0.039054,            0.017777,           0.0026194,             0.82822,             0.83333,             0.78956,             0.54824,            0.047124,           0.0066667,           0.0009365,           0.0092995,           0.0092995,           0.0092995
                  20,            0.038395,            0.017979,           0.0020735,             0.83084,             0.99987,              0.9125,             0.44882,            0.042045,           0.0069158,          0.00081485,           0.0092219,           0.0092219,           0.0092219
                  21,             0.03511,              0.0182,           0.0026226,             0.63882,                   1,             0.81821,             0.48469,            0.051237,           0.0065325,          0.00073131,           0.0091406,           0.0091406,           0.0091406
                  22,            0.034347,             0.01611,           0.0017894,             0.98199,             0.66667,             0.71804,             0.45225,            0.044142,            0.006802,          0.00074249,           0.0090557,           0.0090557,           0.0090557
                  23,            0.033183,            0.017215,           0.0020055,             0.81667,              0.8333,             0.77896,             0.44623,            0.053538,           0.0063415,          0.00077925,           0.0089673,           0.0089673,           0.0089673
                  24,            0.034822,            0.016831,           0.0016926,             0.98844,             0.66667,             0.72604,             0.50816,            0.050385,           0.0064905,          0.00063402,           0.0088755,           0.0088755,           0.0088755
                  25,            0.034001,            0.016445,           0.0017427,             0.63606,             0.99785,             0.71071,             0.41332,            0.048731,           0.0061973,          0.00064552,           0.0087804,           0.0087804,           0.0087804
                  26,            0.033696,            0.016001,           0.0018834,             0.79498,             0.83333,             0.77417,             0.44846,            0.047134,           0.0066246,          0.00061399,            0.008682,            0.008682,            0.008682
                  27,            0.033383,            0.016327,           0.0018457,              0.9782,             0.66667,             0.72619,             0.40676,             0.04997,           0.0065161,          0.00051716,           0.0085805,           0.0085805,           0.0085805
                  28,            0.032936,            0.018739,           0.0012565,             0.82003,             0.83333,                0.83,              0.3742,            0.054452,           0.0068777,          0.00053643,           0.0084759,           0.0084759,           0.0084759
                  29,            0.032895,            0.013974,           0.0016422,             0.99588,             0.83333,             0.83097,             0.54309,            0.053121,             0.00627,          0.00071384,           0.0083684,           0.0083684,           0.0083684
                  30,            0.031605,             0.01468,           0.0015936,             0.97539,             0.83333,               0.885,             0.48626,            0.052039,           0.0064419,          0.00058869,           0.0082581,           0.0082581,           0.0082581
                  31,            0.033827,            0.019074,            0.001585,             0.98131,             0.66667,              0.7035,             0.37436,            0.055244,           0.0071465,          0.00047966,            0.008145,            0.008145,            0.008145
                  32,            0.032213,            0.016301,           0.0017676,             0.81326,             0.83333,             0.72993,             0.38028,            0.047114,           0.0070491,          0.00056679,           0.0080294,           0.0080294,           0.0080294
                  33,            0.029896,            0.015044,           0.0014963,             0.70096,             0.83311,             0.66994,             0.39924,            0.048466,           0.0073633,          0.00048368,           0.0079112,           0.0079112,           0.0079112
                  34,            0.032342,             0.01658,           0.0017092,             0.64599,             0.66535,             0.56447,             0.37659,            0.049838,           0.0075687,          0.00054947,           0.0077907,           0.0077907,           0.0077907
                  35,            0.031943,            0.017838,           0.0013643,             0.60695,                   1,             0.68406,             0.34146,            0.053684,           0.0072997,          0.00054994,           0.0076679,           0.0076679,           0.0076679
                  36,            0.030216,            0.016814,           0.0016934,             0.99548,             0.66667,              0.7805,             0.41559,            0.048123,           0.0069104,          0.00048591,            0.007543,            0.007543,            0.007543
                  37,            0.030308,            0.016797,           0.0013261,             0.80739,             0.83333,             0.78127,             0.44364,            0.046852,            0.006598,          0.00039097,            0.007416,            0.007416,            0.007416
                  38,            0.031054,            0.018284,           0.0012698,             0.81706,             0.83333,                0.83,             0.43625,            0.052595,           0.0063424,          0.00041569,           0.0072872,           0.0072872,           0.0072872
                  39,            0.029849,             0.01591,           0.0011861,             0.81557,             0.83333,             0.77628,              0.4289,            0.050578,           0.0068469,          0.00042956,           0.0071566,           0.0071566,           0.0071566
                  40,            0.029293,            0.016958,           0.0012756,              0.8118,             0.83333,              0.8245,             0.42658,            0.050281,           0.0070808,          0.00037265,           0.0070243,           0.0070243,           0.0070243
                  41,            0.028186,             0.01282,           0.0019223,             0.97849,             0.99892,               0.995,             0.45672,            0.044661,           0.0074697,          0.00031838,           0.0068906,           0.0068906,           0.0068906
                  42,            0.030988,            0.014779,           0.0013385,              0.8064,             0.83333,                0.82,             0.51127,            0.040285,           0.0066283,          0.00032401,           0.0067555,           0.0067555,           0.0067555
                  43,            0.027221,            0.014914,           0.0013982,              0.8181,             0.83333,             0.78679,             0.55683,            0.040681,           0.0059121,          0.00043712,           0.0066191,           0.0066191,           0.0066191
                  44,            0.029544,             0.01757,           0.0011934,             0.83287,             0.83333,              0.7975,              0.4352,            0.041473,           0.0066776,          0.00041261,           0.0064816,           0.0064816,           0.0064816
                  45,            0.028384,            0.016337,           0.0015215,             0.81717,             0.83333,                0.83,             0.40479,            0.051073,           0.0067961,          0.00040057,           0.0063432,           0.0063432,           0.0063432
                  46,            0.027493,            0.015653,           0.0011095,             0.98081,              0.8317,             0.83281,              0.4589,            0.045714,           0.0065209,          0.00035886,            0.006204,            0.006204,            0.006204
                  47,            0.026575,            0.013428,           0.0012694,             0.98527,             0.83264,             0.84207,             0.48387,            0.042028,            0.007213,          0.00034964,            0.006064,            0.006064,            0.006064
                  48,            0.027463,            0.016185,           0.0010035,             0.98045,             0.83333,              0.8795,             0.50161,            0.047231,           0.0064589,          0.00030231,           0.0059235,           0.0059235,           0.0059235
                  49,            0.028297,            0.016896,           0.0011913,             0.98384,             0.83333,               0.845,             0.48824,            0.049555,           0.0060887,          0.00034638,           0.0057826,           0.0057826,           0.0057826
                  50,            0.028277,            0.013054,           0.0012928,             0.98704,             0.83208,             0.85152,             0.47892,            0.040664,           0.0067561,          0.00035045,           0.0056413,           0.0056413,           0.0056413
                  51,            0.027857,            0.015585,           0.0013738,             0.82075,             0.83333,             0.79404,              0.3911,            0.047685,           0.0073809,          0.00033559,              0.0055,              0.0055,              0.0055
                  52,            0.027787,            0.014983,           0.0015511,             0.81576,             0.83333,             0.79975,             0.48899,            0.044048,           0.0063862,          0.00034311,           0.0053587,           0.0053587,           0.0053587
                  53,            0.028645,            0.016734,           0.0012015,             0.80115,             0.99976,              0.9125,             0.51163,            0.044667,            0.006064,          0.00030293,           0.0052174,           0.0052174,           0.0052174
                  54,            0.028137,            0.018089,           0.0016775,              0.8221,             0.83313,             0.76867,              0.4593,            0.040897,           0.0061254,          0.00025714,           0.0050765,           0.0050765,           0.0050765
                  55,            0.026602,            0.018503,           0.0011836,              0.9853,             0.99813,               0.995,             0.44361,            0.045889,           0.0064811,          0.00025895,            0.004936,            0.004936,            0.004936
                  56,            0.026951,            0.018349,          0.00084477,             0.99738,             0.83313,             0.83285,              0.4634,            0.051015,           0.0063213,          0.00024752,            0.004796,            0.004796,            0.004796
                  57,            0.026491,            0.016398,           0.0013901,              0.7253,             0.83333,               0.797,             0.43307,            0.051011,           0.0070394,          0.00021608,           0.0046568,           0.0046568,           0.0046568
                  58,            0.025262,            0.015106,          0.00081921,             0.71669,             0.83333,              0.8025,             0.45105,            0.043136,           0.0068888,          0.00019869,           0.0045184,           0.0045184,           0.0045184
                  59,            0.025366,            0.013579,           0.0007802,             0.79896,             0.83333,             0.77724,             0.40831,             0.04915,           0.0067092,          0.00018416,           0.0043809,           0.0043809,           0.0043809
                  60,            0.025296,            0.015775,          0.00065604,             0.80608,             0.83299,             0.78434,              0.4552,            0.044399,           0.0065369,          0.00017109,           0.0042445,           0.0042445,           0.0042445
                  61,            0.023498,            0.012618,          0.00063176,             0.72195,             0.83333,             0.67451,             0.44454,            0.046313,           0.0065896,          0.00016142,           0.0041094,           0.0041094,           0.0041094
                  62,            0.027349,            0.013202,          0.00089546,             0.81204,             0.83329,             0.72801,             0.48246,             0.05009,           0.0065024,          0.00016578,           0.0039757,           0.0039757,           0.0039757
                  63,            0.025098,            0.012398,          0.00058008,             0.81083,             0.83218,             0.78325,             0.43148,            0.049128,           0.0068002,          0.00017407,           0.0038434,           0.0038434,           0.0038434
                  64,            0.023617,            0.012996,           0.0008577,             0.81661,             0.83333,             0.78738,             0.46499,            0.047367,           0.0067233,          0.00018015,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025096,             0.01358,          0.00077848,             0.73035,             0.83333,                0.77,             0.47339,             0.04229,           0.0071637,          0.00016691,            0.003584,            0.003584,            0.003584
                  66,            0.023949,            0.013801,            0.000526,             0.81577,             0.83319,             0.77731,             0.48907,            0.046187,           0.0068317,          0.00016289,            0.003457,            0.003457,            0.003457
                  67,            0.023199,            0.012777,          0.00080898,             0.73294,             0.83333,             0.66606,              0.4286,            0.041928,           0.0068602,          0.00015441,           0.0033321,           0.0033321,           0.0033321
                  68,            0.024071,            0.013206,          0.00081391,             0.73363,             0.83333,             0.66646,             0.42461,             0.04732,           0.0069106,          0.00015126,           0.0032093,           0.0032093,           0.0032093
                  69,            0.026232,            0.016045,          0.00046139,             0.73753,             0.83333,             0.66665,             0.39954,            0.051628,            0.006827,          0.00014818,           0.0030888,           0.0030888,           0.0030888
                  70,            0.023836,            0.013518,          0.00053161,             0.81624,             0.83333,             0.79097,             0.49646,             0.04458,           0.0066431,           0.0001514,           0.0029706,           0.0029706,           0.0029706
                  71,             0.02267,            0.012327,          0.00048303,              0.8123,             0.83317,              0.7915,              0.4555,            0.047755,           0.0064516,          0.00014374,            0.002855,            0.002855,            0.002855
                  72,            0.024354,             0.01462,          0.00038807,             0.81349,             0.83333,             0.78914,             0.47575,            0.045843,           0.0061546,          0.00013686,           0.0027419,           0.0027419,           0.0027419
                  73,            0.022933,            0.013177,          0.00032394,             0.81135,             0.83333,             0.79268,             0.43769,            0.047729,           0.0063014,          0.00012858,           0.0026316,           0.0026316,           0.0026316
                  74,             0.02231,            0.013916,          0.00030381,             0.81172,             0.83333,             0.74069,             0.48909,            0.042035,           0.0062126,          0.00012833,           0.0025241,           0.0025241,           0.0025241
                  75,            0.023017,            0.014167,          0.00076722,             0.98099,             0.99931,               0.995,             0.52329,            0.040245,           0.0066891,          0.00012039,           0.0024195,           0.0024195,           0.0024195
                  76,            0.023255,            0.015195,          0.00040271,             0.98381,                   1,               0.995,             0.45911,            0.043849,           0.0070954,          0.00012149,            0.002318,            0.002318,            0.002318
                  77,             0.02241,             0.01291,          0.00078547,             0.81846,             0.83333,             0.72267,             0.41773,             0.04851,           0.0069785,          0.00012525,           0.0022196,           0.0022196,           0.0022196
                  78,            0.022383,            0.012545,          0.00038605,             0.81287,             0.83333,             0.73331,             0.45779,            0.045996,           0.0064564,          0.00011714,           0.0021245,           0.0021245,           0.0021245
                  79,            0.022888,            0.014211,          0.00037015,             0.81627,             0.83333,             0.72993,             0.44219,            0.049387,           0.0065396,          0.00011267,           0.0020327,           0.0020327,           0.0020327
                  80,            0.021976,            0.013389,           0.0011669,             0.81601,             0.83333,             0.73124,             0.43758,            0.047314,           0.0067271,          0.00010889,           0.0019443,           0.0019443,           0.0019443
                  81,            0.021875,            0.015841,          0.00026481,             0.81403,             0.83333,             0.73979,             0.44614,             0.04564,           0.0067676,          0.00010222,           0.0018594,           0.0018594,           0.0018594
                  82,            0.021378,            0.014598,          0.00026508,             0.81361,             0.83333,             0.74069,             0.41613,            0.050881,           0.0067695,          0.00010474,           0.0017781,           0.0017781,           0.0017781
                  83,            0.022151,             0.01366,          0.00045744,             0.81663,             0.83333,             0.73513,             0.41616,            0.050216,           0.0068392,          0.00010694,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02065,             0.01398,          0.00033752,             0.81978,             0.83333,             0.73685,             0.45481,            0.049048,           0.0067565,          0.00010504,           0.0016267,           0.0016267,           0.0016267
                  85,            0.022301,             0.01642,          0.00042051,             0.82401,             0.83093,             0.72217,             0.41479,            0.051553,           0.0068185,          0.00010296,           0.0015566,           0.0015566,           0.0015566
                  86,            0.023654,            0.014922,          0.00044451,             0.82091,             0.83333,             0.72217,             0.41297,            0.052218,           0.0067436,          0.00010019,           0.0014905,           0.0014905,           0.0014905
                  87,            0.021955,            0.013842,          0.00041417,              0.8176,             0.83333,             0.72993,             0.41671,             0.04919,            0.006748,          9.8985e-05,           0.0014283,           0.0014283,           0.0014283
                  88,            0.021217,            0.013456,          0.00032791,             0.81787,             0.83333,             0.78988,             0.43721,            0.052773,           0.0065223,          0.00010206,           0.0013701,           0.0013701,           0.0013701
                  89,            0.020946,            0.011668,          0.00036242,             0.81459,             0.83333,             0.79563,             0.47056,            0.047307,           0.0063933,          9.8326e-05,            0.001316,            0.001316,            0.001316
                  90,            0.021848,            0.014221,          0.00026311,             0.81454,             0.83291,             0.73255,             0.43301,             0.05041,           0.0066001,          9.7855e-05,            0.001266,            0.001266,            0.001266
                  91,             0.02049,            0.012734,          0.00053637,             0.81438,             0.83333,             0.73685,             0.43502,            0.047886,           0.0066207,          9.4976e-05,           0.0012202,           0.0012202,           0.0012202
                  92,            0.021388,            0.014899,          0.00022295,             0.81714,             0.83333,             0.73624,             0.41516,             0.05012,           0.0066296,          9.2002e-05,           0.0011787,           0.0011787,           0.0011787
                  93,            0.020731,            0.015961,          0.00058807,             0.81872,             0.83333,             0.73567,             0.43044,            0.049198,           0.0067428,          9.1408e-05,           0.0011414,           0.0011414,           0.0011414
                  94,            0.020515,            0.012589,          0.00086621,              0.8166,             0.83333,             0.73821,             0.44152,             0.04695,           0.0066233,          9.1456e-05,           0.0011084,           0.0011084,           0.0011084
                  95,            0.021508,             0.01296,          0.00023502,             0.81712,             0.83333,             0.73897,             0.45814,            0.047048,           0.0062564,          9.3469e-05,           0.0010797,           0.0010797,           0.0010797
                  96,            0.021794,            0.014003,          0.00040699,             0.81901,             0.83333,             0.74069,             0.45717,            0.048555,           0.0062622,           9.179e-05,           0.0010554,           0.0010554,           0.0010554
                  97,            0.021289,            0.013747,          0.00056761,             0.81817,             0.83333,             0.74167,              0.4573,            0.048057,           0.0062608,          9.1765e-05,           0.0010355,           0.0010355,           0.0010355
                  98,            0.019567,            0.013771,          0.00069437,               0.817,             0.83333,             0.74069,             0.48053,             0.04851,           0.0063662,          8.7783e-05,             0.00102,             0.00102,             0.00102
                  99,            0.021746,            0.016062,          0.00020396,             0.81824,             0.83333,             0.74069,             0.46978,            0.047442,           0.0065434,          8.6441e-05,           0.0010089,           0.0010089,           0.0010089
